Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Scale AI,220,United States,https://scale.com/,,,North America,Mature,Industrial & Commercial Services,"Scale AI is the data platform for AI, providing training data for leading machine learning teams.",crunchbase,https://www.crunchbase.com/organization/scale-2,2024-05-16,0,,0,0,0,0,0,0,0,4,0.0,44.4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,152,579,San Francisco,California,https://parat.eto.tech/company/220-scale-ai
Ameren,2208,United States,https://www.ameren.com/,S&P 500,,North America,Mature,Utilities,"Ameren is a delivery company that specializes in natural gas and electric distribution, as well as electric transmission services.",crunchbase,https://www.crunchbase.com/organization/ameren,2024-05-16,1,,3.4,0,0,0,0,0,29,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,574,St Louis,Zurich,https://parat.eto.tech/company/2208-ameren
DTE Energy,2293,United States,https://www.dteenergy.com,S&P 500,,North America,Mature,Utilities,DTE Energy provides gas & electric utility services to MI homes and businesses.,crunchbase,https://www.crunchbase.com/organization/dte-energy,2024-05-16,0,,0.0,1,0,0,0,0,19,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,573,Detroit,Michigan,https://parat.eto.tech/company/2293-dte-energy
GE Vernova,6962,United States,https://www.gevernova.com/,S&P 500,,North America,Mature,Unknown,"GE Vernova Inc. is an energy equipment manufacturing and services company headquartered in Cambridge, Massachusetts. GE Vernova was formed from the merger and subsequent spin-off of General Electric's energy businesses in 2024: GE Power, GE Renewable Energy, and GE Digital.",wikipedia,https://en.wikipedia.org/wiki/GE_Vernova,2024-06-04,0,,0.0,0,0,0,0,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,573,Cambridge,Massachusetts,https://parat.eto.tech/company/6962-ge-vernova
Walgreens Boots Alliance,1809,United States,https://www.walgreensbootsalliance.com/,S&P 500,,North America,Mature,Food & Drug Retailing,"Walgreens Boots Alliance is the first global pharmacy-led, health and wellbeing enterprise in the world.",crunchbase,https:// https://www.crunchbase.com/organization/walgreens-boots-alliance,2024-05-16,2,-100.0,1.7,0,11,2,0,0,118,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,569,Deerfield,Illinois,https://parat.eto.tech/company/1809-walgreens-boots-alliance
OpenAI,6900,United States,https://openai.com,GenAI Contenders,,North America,Unknown,Unknown,"OpenAI is an American artificial intelligence (AI) research organization founded in December 2015, researching artificial intelligence with the goal of developing ""safe and beneficial"" artificial general intelligence, which it defines as ""highly autonomous systems that outperform humans at most economically valuable work"". As one of the leading organizations of the AI boom, it has developed several large language models, advanced image generation models, and previously, released open-source models. Its release of ChatGPT has been credited with starting the AI boom.",wikipedia,https://en.wikipedia.org/wiki/OpenAI,2024-05-20,151,0.5555555555555559,73.3,63,64922,25,23,22,206,7,,77.8,4,9,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,131,560,San Francisco,California,https://parat.eto.tech/company/6900-openai
Xcel Energy,2547,United States,https://xcelenergy.com/,S&P 500,,North America,Mature,Utilities,Xcel Energy is an electric and natural gas energy company that offers a portfolio of energy-related products and services to customers.,crunchbase,https://www.crunchbase.com/organization/xcel-energy-2,2024-05-16,1,,1.1,0,2,0,0,0,94,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,560,Minneapolis,Minnesota,https://parat.eto.tech/company/2547-xcel-energy
Marathon Petroleum,1826,United States,https://www.marathonpetroleum.com/,S&P 500,,North America,Mature,Energy - Fossil Fuels,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio. The company was a wholly owned subsidiary of Marathon Oil until a corporate spin-off in 2011.",wikipedia,https://en.wikipedia.org/wiki/Marathon_Petroleum,2024-05-24,0,,0.0,0,0,0,0,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,547,Findlay,Ohio,https://parat.eto.tech/company/1826-marathon-petroleum
Teradyne,3092,United States,https://www.teradyne.com/,S&P 500,,North America,Mature,Technology Equipment,Teradyne is a supplier of automatic test equipment used to test complex electronics used in consumer electronics.,crunchbase,https:// https://www.crunchbase.com/organization/teradyne,2024-05-16,1,-100.0,0.8,0,11,0,0,0,119,12,0.0,3.9,5,304,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,10,0,1,12,0,0,0,4,1,0,0,5,542,North Reading,Massachusetts,https://parat.eto.tech/company/3092-teradyne
Enphase Energy,3161,United States,https://enphase.com/,S&P 500,,North America,Mature,Renewable Energy,"Enphase Energy, Inc. is an American energy technology company headquartered in Fremont, California, that develops and manufactures solar micro-inverters, battery energy storage, and EV charging stations primarily for residential customers. Enphase was established in 2006 and is the first company to successfully commercialize the solar micro-inverter, which converts the direct current (DC) power generated by a solar panel into grid-compatible alternating current (AC) for use or export. The company has shipped more than 48 million microinverters to 2.5 million solar systems in more than 140 countries.",wikipedia,https://en.wikipedia.org/wiki/Enphase_Energy,2023-11-10,0,,0.0,0,1,0,0,0,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,528,Fremont,California,https://parat.eto.tech/company/3161-enphase-energy
AutoZone,2225,United States,http://www.autozone.com/,S&P 500,,North America,Mature,Retailers,"AutoZone is a distributor of auto parts, spares and car accessories in Southern Africa.",crunchbase,https://www.crunchbase.com/organization/autozone,2024-05-16,0,,0.0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,526,Memphis,Tennessee,https://parat.eto.tech/company/2225-autozone
Digital Realty Trust,2285,United States,https://www.digitalrealty.com,S&P 500,,North America,Mature,Real Estate,"Digital Realty is a data center platform, delivering customized data analysis solutions to businesses.",crunchbase,https://www.crunchbase.com/organization/digital-realty-trust,2024-05-16,0,,0.0,0,0,0,0,0,1,1,,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,526,San Francisco,California,https://parat.eto.tech/company/2285-digital-realty-trust
Stanley Black & Decker,2495,United States,https://www.stanleyblackanddecker.com/,S&P 500,,North America,Mature,Industrial Goods,Stanley Black & Decker is a tool and industrial equipment manufacturing company.,crunchbase,https://www.crunchbase.com/organization/stanley-black-decker,2024-05-16,7,-100.0,16.3,0,412,2,0,1,43,9,16.666666666666664,0.4,3,2306,3,0,0,0,0,0,0,0,4,1,0,0,0,1,2,0,0,1,5,0,3,7,0,1,0,3,0,0,0,98,525,New Britain,Connecticut,https://parat.eto.tech/company/2495-stanley-black-decker
Jane Street,519,United States,https://www.janestreet.com/,,,North America,Mature,Banking & Investment Services,Jane Street is a quantitative trading firm with a unique focus on technology and collaborative problem solving.,company,https://www.janestreet.com,2021-03-15,0,,0.0,0,0,0,0,0,21,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,524,New York,New York,https://parat.eto.tech/company/519-jane-street
Biogen,1536,United States,https://www.biogen.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Biogen is an American biotechnology company that provides therapeutics for neurological, autoimmune, and rare diseases.",crunchbase,https://www.crunchbase.com/organization/biogen-idec,2024-05-16,29,77.77777777777777,0.5,0,638,2,0,5,5765,6,,1.8,1,335,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,143,515,Cambridge,Massachusetts,https://parat.eto.tech/company/1536-biogen
DuPont,1780,United States,https://www.dupont.com/,S&P 500,,North America,Mature,Consumer Goods Conglomerates,"DuPont offers construction materials, fabrics, packaging materials, and solutions.",crunchbase,https:// https://www.crunchbase.com/organization/dupont,2024-05-16,24,0.0,0.6,0,351,12,0,2,3718,3,,0.1,0,2450,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,514,Wilmington,Delaware,https://parat.eto.tech/company/1780-dupont
Qihoo 360,208,China,https://www.360totalsecurity.com,,,Asia,Mature,Software & IT Services,"Qihoo 360 Technology offers internet and mobile security products, online advertising and internet value-added services in China.",crunchbase,https://www.crunchbase.com/organization/qihoo-360-technology,2024-05-16,63,1.6666666666666667,57.3,14,3645,36,8,1,110,202,-58.93876848985209,2.3,70,8777,0,6,12,0,0,0,0,1,3,0,0,0,0,93,0,22,0,41,8,3,33,4,0,2,0,4,3,0,10,46,506,Beijing,Beijing ,https://parat.eto.tech/company/208-qihoo-360
Panasonic,1129,Japan,https://www.panasonic.com,,,Asia,Mature,Technology Equipment,Panasonic manufactures and sells various electronic and electric products around the world.,crunchbase,https://www.crunchbase.com/organization/panasonic,2024-05-16,333,32.88826641767819,12.4,34,6711,124,9,136,2692,641,-5.673705379587733,1.1,333,59542,4,24,79,2,0,8,33,1,65,60,0,0,2,191,10,19,5,110,111,41,193,151,1,12,16,100,59,3,44,36,506,Kadoma,Osaka,https://parat.eto.tech/company/1129-panasonic
Waters Corporation,2536,United States,https://www.waters.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Waters Corporation creates business advantages for laboratory-dependent organizations by delivering ultra performance liquid chromatography.,crunchbase,https://www.crunchbase.com/organization/waters-corporation,2024-05-16,6,-16.666666666666668,0.2,0,66,1,0,1,2445,9,50.0,1.0,4,918,0,0,0,0,0,0,0,0,1,4,0,0,0,1,5,0,0,0,0,2,2,0,0,0,0,8,0,0,0,15,501,Milford,Massachusetts,https://parat.eto.tech/company/2536-waters-corporation
Mettler Toledo,2413,United States,https://www.mt.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"Mettler Toledo is a manufacturer of industrial equipment like scales, X-ray machines, instruments and laboratory items.",crunchbase,https://www.crunchbase.com/organization/mettler-toledo,2024-05-16,3,-100.0,0.9,0,49,2,0,0,331,6,-100.0,0.9,0,680,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,39,500,Columbus,Ohio,https://parat.eto.tech/company/2413-mettler-toledo
Crown Castle International,2275,United States,http://www.crowncastle.com/,S&P 500,,North America,Mature,Real Estate,"Crown Castle Provides communications infrastructure--connecting people & businesses to essential data, technology & wireless service.",crunchbase,https://www.crunchbase.com/organization/crown-castle,2024-05-16,0,,0.0,0,0,0,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,498,Houston,Texas,https://parat.eto.tech/company/2275-crown-castle-international
Carrier Global,2247,United States,https://www.carrier.com/,S&P 500,,North America,Mature,Industrial Goods,"Carrier is a provider of innovative heating, ventilating and air conditioning (HVAC), refrigeration, and fire & security technologies.",crunchbase,https://www.crunchbase.com/organization/carrier-corporation,2024-05-16,8,-100.0,1.2,0,17,2,0,2,676,51,33.01282051282052,1.3,22,3864,0,4,10,0,0,1,12,0,5,0,0,0,0,27,6,21,0,10,6,1,6,18,0,4,2,6,6,0,1,28,495,Palm Beach Garden,Florida,https://parat.eto.tech/company/2247-carrier-global
Nio,596,China,http://www.nio.io/,,,Asia,Mature,Unknown,NIO is an automotive company that designs and develops electric autonomous vehicles.,crunchbase,https://www.crunchbase.com/organization/nextev,2024-05-16,5,,25.0,0,12,2,0,4,20,9,50.0,2.0,3,446,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,1,0,2,3,0,0,0,2,0,0,3,52,494,Shanghai,Shanghai,https://parat.eto.tech/company/596-nio
Parker-Hannifin,2450,United States,http://www.parker.com/,S&P 500,,North America,Mature,Industrial Goods,Parker Hannifin is a diversified manufacturer of motion.,crunchbase,https://www.crunchbase.com/organization/parker-hannifin,2024-05-16,20,44.444444444444436,2.7,0,301,1,4,11,741,4,-100.0,0.4,1,1070,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,26,493,Cleveland,Ohio,https://parat.eto.tech/company/2450-parker-hannifin
International Paper,2369,United States,https://www.internationalpaper.com/,S&P 500,,North America,Mature,Applied Resources,International Paper manufactures paper and paper-packaging products.,crunchbase,https://www.crunchbase.com/organization/international-paper,2024-05-16,4,-50.0,1.3,0,192,1,0,0,306,0,,0.0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,491,Memphis,Tennessee,https://parat.eto.tech/company/2369-international-paper
MGM Resorts International,2414,United States,https://www.mgmresorts.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,"MGM Resorts International is a hospitality firm that operates casinos, restaurants, and recreational resorts.",crunchbase,https://www.crunchbase.com/organization/mgm-resorts-international,2024-05-16,0,,0.0,0,0,0,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,485,Las Vegas,Nevada,https://parat.eto.tech/company/2414-mgm-resorts-international
Union Pacific,2519,United States,http://www.up.com/,S&P 500,,North America,Mature,Transportation,"Union Pacific Railroad is the principal operating company of Union Pacific Corporation both are headquartered in Omaha, Nebraska",crunchbase,https://www.crunchbase.com/organization/union-pacific-corporation,2024-05-16,1,,2.9,0,25,0,0,0,35,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,477,Omaha,Nebraska,https://parat.eto.tech/company/2519-union-pacific
Regeneron Pharmaceuticals,1577,United States,http://www.regeneron.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Regeneron Pharmaceuticals specializes in the discovery, development, and commercialization of innovative medicines.",crunchbase,https://www.crunchbase.com/organization/regeneron-pharmaceuticals,2024-05-16,19,25.0,0.4,1,93,5,2,0,4225,14,0.0,1.2,1,1134,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,138,476,Tarrytown,New York,https://parat.eto.tech/company/1577-regeneron-pharmaceuticals
Zions Bancorp,2553,United States,https://www.zionsbank.com/,,,North America,Mature,Banking & Investment Services,"Zions Bancorporation is a financial services company involved in SBA lending, public finance advisory services, and agricultural finance.",crunchbase,https://www.crunchbase.com/organization/zions-bancorporation,2024-05-16,0,,0.0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,473,Salt Lake City,Utah,https://parat.eto.tech/company/2553-zions-bancorp
Xylem,2549,United States,https://www.xylem.com/,S&P 500,,North America,Mature,Industrial Goods,"Xylem is a large global water technology provider, enabling customers to transport, treat, test, and efficiently use water.",crunchbase,https://www.crunchbase.com/organization/xylem-inc,2024-05-16,8,-50.0,4.8,0,58,1,0,1,165,4,-50.0,0.6,3,682,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,52,473,White Plains,New York,https://parat.eto.tech/company/2549-xylem
Otis Worldwide,2447,United States,https://www.otis.com/,S&P 500,,North America,Mature,Industrial Goods,"OTIS is a manufacturer and service provider of elevators, escalators, and moving walkways.",crunchbase,https://www.crunchbase.com/organization/otis,2024-05-16,2,,28.6,0,1,0,0,2,7,14,104.16666666666667,1.0,6,1440,0,0,1,0,0,1,0,0,14,0,0,0,0,7,2,1,0,3,1,1,2,4,0,0,0,3,1,0,0,26,465,Farmington,Connecticut,https://parat.eto.tech/company/2447-otis-worldwide
Idexx Laboratories,2363,United States,https://www.idexx.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"IDEXX Laboratories, Inc. is a leader in pet healthcare innovation, serving practicing veterinarians around the world with a broad range of",crunchbase,https://www.crunchbase.com/organization/idexx-laboratories,2024-05-16,7,50.0,0.7,0,115,7,0,0,975,4,,4.5,2,88,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,74,464,Westbrook,Maine,https://parat.eto.tech/company/2363-idexx-laboratories
Norfolk Southern,2436,United States,http://www.nscorp.com/,S&P 500,,North America,Mature,Transportation,Norfolk Southern Corporation is one of the nation's premier transportation companies.,crunchbase,https://www.crunchbase.com/organization/norfolk-southern-corporation,2024-05-16,1,,2.6,0,17,0,0,0,38,2,,20.0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,56,457,Atlanta,Georgia,https://parat.eto.tech/company/2436-norfolk-southern
Supermicro,6981,United States,https://www.supermicro.com/en/,S&P 500,,North America,Mature,Unknown,"Super Micro Computer, Inc., dba Supermicro, is an American information technology company based in San Jose, California. It has manufacturing operations in the Silicon Valley, the Netherlands and at its Science and Technology Park in Taiwan. Founded on November 1, 1993, Supermicro is one of the largest producers of high-performance and high-efficiency servers. It also provides server management software, and storage systems for various markets, including enterprise data centers, cloud computing, artificial intelligence, 5G and edge computing.",wikipedia,https://en.wikipedia.org/wiki/Supermicro,2024-06-04,2,,8.0,0,16,1,0,0,25,3,-100.0,17.6,0,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,457,San Jose,California,https://parat.eto.tech/company/6981-supermicro
Centerpoint Energy,2252,United States,https://www.centerpointenergy.com/,S&P 500,,North America,Mature,Utilities,"CenterPoint Energy is an energy delivery company with electric transmission and distribution, power generation and natural gas distribution.",crunchbase,https://www.crunchbase.com/organization/centerpoint-energy,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,456,Houston,Texas,https://parat.eto.tech/company/2252-centerpoint-energy
Verisign,2527,United States,http://www.verisigninc.com/,S&P 500,,North America,Mature,Software & IT Services,Verisign operates as a global provider of domain name registry services and internet infrastructure.,crunchbase,https://www.crunchbase.com/organization/verisign-2,2024-05-16,2,,3.4,3,19,0,0,0,58,10,50.0,6.1,9,163,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,9,0,0,0,0,0,0,1,0,0,0,1,10,455,Reston,Virignia,https://parat.eto.tech/company/2527-verisign
Qorvo,2468,United States,https://www.qorvo.com/,S&P 500,,North America,Mature,Technology Equipment,Qorvo (''kor-vo'') enables customers to launch next-generation designs even faster.,crunchbase,https://www.crunchbase.com/organization/qorvo,2024-05-16,0,,0.0,0,0,0,0,0,395,1,,0.1,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,453,Greensboro,North Carolina,https://parat.eto.tech/company/2468-qorvo
Consolidated Edison,2269,United States,https://www.conedison.com/,S&P 500,,North America,Mature,Utilities,ConEdison is a leading energy services company.,crunchbase,https://www.crunchbase.com/organization/conedison-solutions,2024-05-16,5,-100.0,7.4,0,313,0,0,0,68,0,,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,452,New York,New York,https://parat.eto.tech/company/2269-consolidated-edison
Archer Daniels Midland,1894,United States,https://www.adm.com/,S&P 500,,North America,Mature,Food & Beverages,"Archer Daniels Midland Company offers food ingredients, animal feeds and feed ingredients, biofuels, and other products.",crunchbase,https:// https://www.crunchbase.com/organization/archer-daniels-midland-company,2024-05-16,1,,0.5,0,6,0,0,0,194,0,,0.0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,449,Chicago,Illinois,https://parat.eto.tech/company/1894-archer-daniels-midland
V.F. Corporation,2524,United States,https://www.vfc.com/,,,North America,Mature,Cyclical Consumer Products,VF offers outdoor and activity-based lifestyle and work-wear brands.,crunchbase,https://www.crunchbase.com/organization/vf-corporation,2024-05-16,0,,0.0,0,0,0,0,0,5,1,,0.4,0,229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,449,Denver,Colorado,https://parat.eto.tech/company/2524-v-f-corporation
NRG Energy,2440,United States,http://www.nrg.com/,S&P 500,,North America,Mature,Utilities,"NRG Energy is an integrated power generation and supply firm that offers offsite solar, wind power, and smart grid retail services.",crunchbase,https://www.crunchbase.com/organization/nrg-energy,2024-05-16,0,,0.0,0,0,0,0,0,37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,442,Houston,Texas,https://parat.eto.tech/company/2440-nrg-energy
Sysco,1908,United States,http://sysco.com/,S&P 500,,North America,Mature,Food & Drug Retailing,"Sysco sells, markets, and distributes food products to restaurants, hotels, and other hospitality businesses.",crunchbase,https://www.crunchbase.com/organization/sysco,2024-05-16,1,-100.0,12.5,0,19,0,0,0,8,0,,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,442,Houston,Texas,https://parat.eto.tech/company/1908-sysco
Avery Dennison,2227,United States,http://www.averydennison.com/,S&P 500,,North America,Mature,Applied Resources,Avery Dennison is a company focusing on labeling and packaging materials and solutions.,crunchbase,https://www.crunchbase.com/organization/avery-dennison,2024-05-16,0,,0.0,0,0,0,0,0,51,1,-100.0,0.1,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,49,435,Mentor,Ohio,https://parat.eto.tech/company/2227-avery-dennison
A.O. Smith,2217,United States,https://www.aosmith.com/,S&P 500,,North America,Mature,Industrial Goods,A.O. Smith(1874) Corporation is a global leader applying innovative technology and energyefficient solutions to products marketed worldwide.,crunchbase,https://www.crunchbase.com/organization/a-o-smith,2024-05-16,0,,0.0,0,0,0,0,0,19,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,433,Milwaukee,Wisconsin,https://parat.eto.tech/company/2217-a-o-smith
PVH,2467,United States,https://www.pvh.com/,,,North America,Mature,Cyclical Consumer Products,"A company transformed, focused on global growth and brand building, while staying true to our core values.",crunchbase,https://www.crunchbase.com/organization/pvh,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,431,New York,New York,https://parat.eto.tech/company/2467-pvh
RTX,815,United States,https://www.rtx.com/,S&P 500,,North America,Mature,Industrial Goods,Raytheon Technologies is an aerospace and defense company that provides advanced systems and services.,crunchbase,https://www.crunchbase.com/organization/raytheon,2024-05-16,303,29.867202729044834,10.5,33,5883,64,63,32,2887,298,15.200179937022043,1.9,162,15924,1,20,25,1,0,8,13,2,13,8,5,1,0,132,23,28,1,70,66,27,56,76,2,24,3,54,23,0,10,30,430,Waltham,Massachusetts,https://parat.eto.tech/company/815-rtx
Occidental Petroleum,2443,United States,http://www.oxy.com/,S&P 500,,North America,Mature,Energy - Fossil Fuels,Occidental Petroleum is an international oil and gas exploration and production company.,crunchbase,https://www.crunchbase.com/organization/occidental-petroleum-corporation,2024-05-16,7,100.0,2.4,0,19,3,0,0,288,0,,0.0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,429,Houston,Texas,https://parat.eto.tech/company/2443-occidental-petroleum
Zimmer Biomet,2552,United States,http://www.zimmerbiomet.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Zimmer Biomet is a medical device manufacturing company.,crunchbase,https://www.crunchbase.com/organization/zimmer-holdings,2024-05-16,233,17.457264957264957,3.4,3,7885,127,5,21,6894,10,-33.33333333333333,1.2,3,862,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,41,428,Warsaw,Indiana,https://parat.eto.tech/company/2552-zimmer-biomet
Copart,2272,United States,https://www.copart.com/,S&P 500,,North America,Mature,Software & IT Services,Copart is a Vehicle auctioning company traded on NASDAQ with ticket CPRT. It owns it's own yards and maintenance personel.,crunchbase,https://www.crunchbase.com/organization/copart,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,428,Dallas,Texas,https://parat.eto.tech/company/2272-copart
Entergy,2303,United States,http://www.entergy.com/,S&P 500,,North America,Mature,Utilities,Entergy Corporation is an integrated energy company,crunchbase,https://www.crunchbase.com/organization/entergy-corporation,2024-05-16,0,,0.0,0,0,0,0,0,13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,427,New Orleans,Louisiana,https://parat.eto.tech/company/2303-entergy
Advance Auto Parts,2193,United States,https://shop.advanceautoparts.com/,,,North America,Mature,Retailers,"Advance Auto Parts is the largest automotive aftermarket parts provider in North America, serves both the professional installer.",crunchbase,https://www.crunchbase.com/organization/advance-auto-parts,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,425,Raleigh,North Carolina,https://parat.eto.tech/company/2193-advance-auto-parts
